driver,avg_sentiment,std_sentiment,positive_pct,negative_pct,neutral_pct,comment_count
piastri,0.3536117391304348,0.45212961184340833,65.65217391304347,14.782608695652174,19.565217391304348,230
zhou,0.3501451219512195,0.43380304515805296,63.41463414634146,9.75609756097561,26.82926829268293,82
leclerc,0.3369114678899082,0.44521134462438056,61.00917431192661,13.302752293577983,25.688073394495415,218
colapinto,0.30398041237113405,0.4406789975647527,57.73195876288659,16.49484536082474,25.773195876288657,97
gasly,0.2708077777777778,0.42692189013078197,55.55555555555556,20.0,24.444444444444443,90
magnussen,0.2628619047619048,0.4428728670531557,57.82312925170068,20.408163265306122,21.768707482993197,147
norris,0.2592587301587302,0.45877618462875175,56.34920634920635,20.634920634920633,23.015873015873016,252
tsunoda,0.23669303482587065,0.42290020305331033,50.74626865671642,16.91542288557214,32.33830845771145,201
alonso,0.2325460396039604,0.4279102511957089,51.48514851485149,14.85148514851485,33.663366336633665,202
hamilton,0.21445114285714287,0.4644729011764468,51.142857142857146,20.285714285714285,28.57142857142857,350
sainz,0.2122768,0.47477507468459207,50.4,21.6,28.000000000000004,250
verstappen,0.1942991150442478,0.4619910452424079,53.53982300884957,23.672566371681416,22.787610619469024,452
stroll,0.1910468965517242,0.4581911319383215,48.96551724137931,23.448275862068964,27.586206896551722,145
lawson,0.18992499999999998,0.40692057655640856,48.95833333333333,21.875,29.166666666666668,96
hulkenberg,0.18950263157894737,0.40378590861132685,43.42105263157895,17.105263157894736,39.473684210526315,76
albon,0.1814792682926829,0.4714196992732476,54.87804878048781,25.609756097560975,19.51219512195122,82
perez,0.16596695278969956,0.4458011603541628,47.63948497854077,21.030042918454935,31.330472103004293,233
russell,0.14348058252427184,0.43808521161147446,46.601941747572816,23.78640776699029,29.61165048543689,206
ricciardo,0.13318070175438598,0.46568254356585415,50.877192982456144,21.052631578947366,28.07017543859649,57
bottas,0.11221475409836067,0.4968775878657641,40.98360655737705,29.508196721311474,29.508196721311474,61
sargeant,0.06872328767123287,0.3934634367168401,35.61643835616438,27.397260273972602,36.986301369863014,73
ocon,-0.04517343750000001,0.43830827345109924,31.25,48.4375,20.3125,64
